zone,forecaster,lead,stratum,n_at_risk,n_onset,onset_rate,onset_auc,pod,pofd,far,sedi
egoa,lim_k15,1,all,234,14,0.05982905982905983,0.860064935064935,0.42857142857142855,0.03636363636363636,0.5714285714285714,0.6282837578511345
egoa,lim_k15,1,pre2014,126,5,0.03968253968253968,0.7652892561983471,0.2,0.008264462809917356,0.5,0.5124854732029894
egoa,lim_k15,1,post2014,108,9,0.08333333333333333,0.89337822671156,0.5555555555555556,0.0707070707070707,0.5833333333333334,0.6791669139846981
egoa,lim_k15,2,all,233,14,0.060085836909871244,0.786692759295499,0.35714285714285715,0.045662100456621,0.6666666666666666,0.6061637840483611
egoa,lim_k15,2,pre2014,125,5,0.04,0.6533333333333332,0.2,0.008333333333333333,0.5,0.5118592589842766
egoa,lim_k15,2,post2014,108,9,0.08333333333333333,0.866442199775533,0.4444444444444444,0.09090909090909091,0.6923076923076923,0.6489668672019354
egoa,lim_k15,3,all,232,14,0.0603448275862069,0.7558977719528178,0.42857142857142855,0.07339449541284404,0.7272727272727273,0.5489550445298743
egoa,lim_k15,3,pre2014,124,5,0.04032258064516129,0.66890756302521,0.2,0.025210084033613446,0.75,0.4096112562079569
egoa,lim_k15,3,post2014,108,9,0.08333333333333333,0.7946127946127945,0.5555555555555556,0.13131313131313133,0.7222222222222222,0.5918046908977005
egoa,lim_k15,6,all,229,14,0.0611353711790393,0.5817275747508306,0.5,0.19069767441860466,0.8541666666666666,0.40394260519448505
egoa,lim_k15,6,pre2014,121,5,0.04132231404958678,0.27931034482758627,0.2,0.23275862068965517,0.9642857142857143,-0.0956152933243912
egoa,lim_k15,6,post2014,108,9,0.08333333333333333,0.712682379349046,0.6666666666666666,0.1414141414141414,0.7,0.6794959041252285
egoa,lim_k8,1,all,234,14,0.05982905982905983,0.8587662337662337,0.42857142857142855,0.05909090909090909,0.6842105263157895,0.5772342657070658
egoa,lim_k8,1,pre2014,126,5,0.03968253968253968,0.7355371900826446,0.0,0.0,,-0.0
egoa,lim_k8,1,post2014,108,9,0.08333333333333333,0.8956228956228955,0.6666666666666666,0.13131313131313133,0.6842105263157895,0.7027294566588966
egoa,lim_k8,2,all,233,14,0.060085836909871244,0.7674494455316373,0.2857142857142857,0.0730593607305936,0.8,0.4690019109357942
egoa,lim_k8,2,pre2014,125,5,0.04,0.725,0.0,0.0,,0.7942958403683613
egoa,lim_k8,2,post2014,108,9,0.08333333333333333,0.7957351290684624,0.4444444444444444,0.16161616161616163,0.8,0.41886590716133765
egoa,lim_k8,3,all,232,14,0.0603448275862069,0.6528505897771952,0.35714285714285715,0.11467889908256881,0.8333333333333334,0.40442053681657375
egoa,lim_k8,3,pre2014,124,5,0.04032258064516129,0.6260504201680672,0.0,0.025210084033613446,1.0,-0.48620055871030965
egoa,lim_k8,3,post2014,108,9,0.08333333333333333,0.7182940516273849,0.5555555555555556,0.2222222222222222,0.8148148148148148,0.4679314054457944
egoa,lim_k8,6,all,229,14,0.0611353711790393,0.6456810631229236,0.5714285714285714,0.25116279069767444,0.8709677419354839,0.4171087786433667
egoa,lim_k8,6,pre2014,121,5,0.04132231404958678,0.49310344827586206,0.4,0.25,0.9354838709677419,0.1712079309994311
egoa,lim_k8,6,post2014,108,9,0.08333333333333333,0.6835016835016835,0.6666666666666666,0.25252525252525254,0.8064516129032258,0.560745981724487
egoa,persistence,1,all,234,14,0.05982905982905983,0.8180194805194806,0.21428571428571427,0.022727272727272728,0.625,0.4405101611471131
egoa,persistence,1,pre2014,126,5,0.03968253968253968,0.871900826446281,0.2,0.024793388429752067,0.75,0.4114911362525199
egoa,persistence,1,post2014,108,9,0.08333333333333333,0.8900112233445566,0.2222222222222222,0.020202020202020204,0.5,0.462998548879784
egoa,persistence,2,all,233,14,0.060085836909871244,0.6606327462491846,0.2857142857142857,0.0821917808219178,0.8181818181818182,0.34853801010409685
egoa,persistence,2,pre2014,125,5,0.04,0.5041666666666667,0.0,0.09166666666666666,1.0,-0.7068203735113423
egoa,persistence,2,post2014,108,9,0.08333333333333333,0.7867564534231201,0.4444444444444444,0.0707070707070707,0.6363636363636364,0.5708778628503948
egoa,persistence,3,all,232,14,0.0603448275862069,0.6772608125819135,0.42857142857142855,0.1834862385321101,0.8695652173913043,0.3717769400777116
egoa,persistence,3,pre2014,124,5,0.04032258064516129,0.3563025210084034,0.0,0.21008403361344538,1.0,-0.7952834309443424
egoa,persistence,3,post2014,108,9,0.08333333333333333,0.8484848484848484,0.6666666666666666,0.15151515151515152,0.7142857142857143,0.6794959041252285
egoa,persistence,6,all,229,14,0.0611353711790393,0.6169435215946844,0.5,0.2930232558139535,0.9,0.29749345776044633
egoa,persistence,6,pre2014,121,5,0.04132231404958678,0.3706896551724138,0.2,0.33620689655172414,0.975,-0.2118748324963844
egoa,persistence,6,post2014,108,9,0.08333333333333333,0.7429854096520763,0.6666666666666666,0.24242424242424243,0.8,0.572900993662295
egoa,pnt_persistence,1,all,234,14,0.05982905982905983,0.8147727272727272,0.14285714285714285,0.022727272727272728,0.7142857142857143,0.33339438600623783
egoa,pnt_persistence,1,pre2014,126,5,0.03968253968253968,0.9239669421487603,0.2,0.024793388429752067,0.75,0.4114911362525199
egoa,pnt_persistence,1,post2014,108,9,0.08333333333333333,0.8900112233445567,0.1111111111111111,0.020202020202020204,0.6666666666666666,0.2889225301984843
egoa,pnt_persistence,2,all,233,14,0.060085836909871244,0.6912915851272016,0.2857142857142857,0.0821917808219178,0.8181818181818182,0.35858871062694253
egoa,pnt_persistence,2,pre2014,125,5,0.04,0.575,0.0,0.09166666666666666,1.0,-0.7068203735113423
egoa,pnt_persistence,2,post2014,108,9,0.08333333333333333,0.7957351290684623,0.4444444444444444,0.0707070707070707,0.6363636363636364,0.5708778628503948
egoa,pnt_persistence,3,all,232,14,0.0603448275862069,0.7054390563564875,0.42857142857142855,0.15137614678899083,0.8461538461538461,0.4225461317837913
egoa,pnt_persistence,3,pre2014,124,5,0.04032258064516129,0.5546218487394958,0.0,0.15126050420168066,1.0,-0.7554707927860744
egoa,pnt_persistence,3,post2014,108,9,0.08333333333333333,0.8103254769921436,0.6666666666666666,0.15151515151515152,0.7142857142857143,0.6794959041252285
egoa,pnt_persistence,6,all,229,14,0.0611353711790393,0.6303986710963455,0.42857142857142855,0.28837209302325584,0.9117647058823529,0.19893626840346162
egoa,pnt_persistence,6,pre2014,121,5,0.04132231404958678,0.4172413793103449,0.0,0.3275862068965517,1.0,-0.8576550541273561
egoa,pnt_persistence,6,post2014,108,9,0.08333333333333333,0.7530864197530864,0.6666666666666666,0.24242424242424243,0.8,0.572900993662295
nbs,climatology,1,all,223,20,0.08968609865470852,0.6900246305418718,0.65,0.32019704433497537,0.8333333333333334,0.4564838488612122
nbs,climatology,1,pre2014,118,10,0.0847457627118644,0.7611111111111112,0.8,0.2962962962962963,0.8,0.6620716873400498
nbs,climatology,1,post2014,105,10,0.09523809523809523,0.5736842105263158,0.5,0.3473684210526316,0.868421052631579,0.21969950596535257
nbs,climatology,2,all,222,20,0.09009009009009009,0.6933168316831684,0.65,0.31683168316831684,0.8311688311688312,0.4607798474197562
nbs,climatology,2,pre2014,117,10,0.08547008547008547,0.7672897196261683,0.8,0.2897196261682243,0.7948717948717948,0.6688232210052715
nbs,climatology,2,post2014,105,10,0.09523809523809523,0.5757894736842106,0.5,0.3473684210526316,0.868421052631579,0.21969950596535257
nbs,climatology,3,all,221,20,0.09049773755656108,0.6977611940298508,0.65,0.31343283582089554,0.8289473684210527,0.4714356405321573
nbs,climatology,3,pre2014,116,10,0.08620689655172414,0.7679245283018867,0.8,0.2830188679245283,0.7894736842105263,0.6851967454706733
nbs,climatology,3,post2014,105,10,0.09523809523809523,0.5726315789473684,0.5,0.3473684210526316,0.868421052631579,0.21969950596535257
nbs,climatology,6,all,218,20,0.09174311926605505,0.6654040404040404,0.65,0.30808080808080807,0.8243243243243243,0.47191411078202017
nbs,climatology,6,pre2014,113,10,0.08849557522123894,0.7330097087378642,0.8,0.27184466019417475,0.7777777777777778,0.6869466164723311
nbs,climatology,6,post2014,105,10,0.09523809523809523,0.5442105263157895,0.5,0.3473684210526316,0.868421052631579,0.21969950596535257
